,playerUrl,yearP,salaryP
0,/players/t/thomaet01.html,2001,1388880
1,/players/t/thomaet01.html,2002,1493040
2,/players/t/thomaet01.html,2003,1597200
3,/players/t/thomaet01.html,2004,2200942
4,/players/t/thomaet01.html,2005,4903000
5,/players/t/thomaet01.html,2006,5393300
6,/players/t/thomaet01.html,2007,5883600
7,/players/t/thomaet01.html,2008,6373900
8,/players/t/thomaet01.html,2009,6864200
9,/players/t/thomaet01.html,2010,7350000
10,/players/t/thomaet01.html,2011,1223166
0,/players/h/hardaan01.html,1994,1244000
1,/players/h/hardaan01.html,1995,4305000
2,/players/h/hardaan01.html,1996,5230000
3,/players/h/hardaan01.html,1997,6655000
4,/players/h/hardaan01.html,1998,7580000
5,/players/h/hardaan01.html,1999,8505000
6,/players/h/hardaan01.html,2000,9000000
7,/players/h/hardaan01.html,2001,10130000
8,/players/h/hardaan01.html,2002,11250000
9,/players/h/hardaan01.html,2003,12375000
10,/players/h/hardaan01.html,2004,13500000
11,/players/h/hardaan01.html,2005,14625000
12,/players/h/hardaan01.html,2006,15750000
13,/players/h/hardaan01.html,2008,320142
0,/players/s/smithja01.html,2001,316969
1,/players/s/smithja01.html,2002,465850
2,/players/s/smithja01.html,2004,638679
3,/players/s/smithja01.html,2005,720046
0,/players/q/quinnch01.html,2007,412718
1,/players/q/quinnch01.html,2008,687456
2,/players/q/quinnch01.html,2009,972581
3,/players/q/quinnch01.html,2010,1055000
4,/players/q/quinnch01.html,2011,861978
0,/players/w/willini01.html,2020,1500000
0,/players/m/marksse01.html,1999,287500
1,/players/m/marksse01.html,2000,385000
2,/players/m/marksse01.html,2002,565850
3,/players/m/marksse01.html,2003,612435
4,/players/m/marksse01.html,2004,596295
5,/players/m/marksse01.html,2005,745046
6,/players/m/marksse01.html,2006,835810
7,/players/m/marksse01.html,2007,932015
8,/players/m/marksse01.html,2008,1033930
9,/players/m/marksse01.html,2009,1141838
10,/players/m/marksse01.html,2010,1187686
11,/players/m/marksse01.html,2011,1264687
0,/players/c/carrode01.html,2010,1009680
1,/players/c/carrode01.html,2011,1085400
2,/players/c/carrode01.html,2012,544331
3,/players/c/carrode01.html,2012,289382
4,/players/c/carrode01.html,2014,2557545
5,/players/c/carrode01.html,2015,2442455
6,/players/c/carrode01.html,2016,13500000
7,/players/c/carrode01.html,2017,14200000
8,/players/c/carrode01.html,2018,14800000
9,/players/c/carrode01.html,2019,15400000
10,/players/c/carrode01.html,2020,6842307
11,/players/c/carrode01.html,2020,811447
12,/players/c/carrode01.html,2021,6119676
13,/players/c/carrode01.html,2022,1242340
0,/players/o/onealsh01.html,1993,3000000
1,/players/o/onealsh01.html,1994,3900000
2,/players/o/onealsh01.html,1995,4800000
3,/players/o/onealsh01.html,1996,5700000
4,/players/o/onealsh01.html,1997,10714000
5,/players/o/onealsh01.html,1998,12857143
6,/players/o/onealsh01.html,1999,15000000
7,/players/o/onealsh01.html,2000,17142858
8,/players/o/onealsh01.html,2001,19285715
9,/players/o/onealsh01.html,2002,21428572
10,/players/o/onealsh01.html,2003,23571429
11,/players/o/onealsh01.html,2004,24749999
12,/players/o/onealsh01.html,2005,27696430
13,/players/o/onealsh01.html,2006,20000000
14,/players/o/onealsh01.html,2007,20000000
15,/players/o/onealsh01.html,2008,20000000
16,/players/o/onealsh01.html,2009,21000000
17,/players/o/onealsh01.html,2010,20000000
18,/players/o/onealsh01.html,2011,1352181
0,/players/c/carrco01.html,1999,287500
0,/players/c/callori01.html,1991,125000
0,/players/o/okafoja01.html,2016,4582680
1,/players/o/okafoja01.html,2017,4788840
2,/players/o/okafoja01.html,2018,4995120
3,/players/o/okafoja01.html,2019,1567007
4,/players/o/okafoja01.html,2020,1702486
5,/players/o/okafoja01.html,2021,1882867
6,/players/o/okafoja01.html,2022,2130023
